DATE,0.003,0.005,0.019,0.038,0.083,0.167,0.25,0.5,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,3.25,3.5,3.75,4,4.25,4.5,4.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,8,8.25,8.5,8.75,9,9.25,9.5,9.75,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
2001-01-02,0.056550152,0.057853507,0.058302026,0.057717898,0.056333073,0.05879361,0.056333073,0.055453628,0.056929533,0.054507124,0.05612132,0.055930879,0.055742472,0.055547816,0.055574113,0.055602202,0.055629394,0.055656585,0.055869185,0.056084076,0.05629425,0.05650905,0.056560205,0.056612494,0.056664212,0.056985065,0.056713636,0.056710712,0.056707819,0.056704896,0.056702853,0.056700764,0.056698699,0.056956727,0.056642845,0.056587304,0.056533532,0.056479758,0.056417384,0.05635422,0.056291766,0.056228666,0.056171521,0.056114318,0.056162824,0.056210187,0.056087285,0.055964368,0.055551383,0.055138226,0.0547249,0.054325293,0.053925527,0.053525601,0.053125515,0.052725269,0.052396985,0.052068594,0.051740095,0.051411487,0.051082772,0.050871806,0.050660794,0.050449739,0.050238638,0.050027494,,,,,,,,,,,,,,,,,,,,
2001-01-03,0.056550451,0.057853728,0.058301926,0.057801892,0.0566166,0.058793299,0.056333073,0.055160308,0.056929332,0.05479117,0.056121321,0.055933164,0.055742134,0.055548229,0.05557377,0.055602148,0.055629579,0.05565701,0.055868861,0.056084448,0.056294318,0.05650887,0.056559901,0.056612821,0.056663847,0.056966173,0.056713926,0.056711092,0.056708257,0.056704477,0.056702588,0.056700698,0.056698808,0.056597701,0.056643059,0.056587306,0.056533441,0.056479572,0.0564171,0.056353868,0.056291861,0.056229093,0.056172561,0.056114703,0.055993113,0.055879263,0.055562419,0.055245474,0.054847969,0.054450306,0.054052484,0.053658296,0.053263951,0.052869452,0.052474796,0.052079985,0.051793269,0.051506472,0.051219592,0.050932629,0.050645585,0.050432624,0.050219618,0.050006567,0.04979347,0.049580328,,,,,,,,,,,,,,,,,,,,
2001-01-04,0.063969609,0.061763737,0.060492848,0.05917298,0.056040011,0.058958293,0.055453628,0.054582878,0.056682745,0.053663982,0.055919925,0.055786584,0.055648497,0.05551512,0.05565701,0.055798879,0.055939783,0.056081612,0.056239492,0.056398292,0.056555176,0.056713926,0.056737548,0.056762113,0.056785733,0.05737228,0.056780064,0.056748886,0.056717706,0.056686525,0.056678966,0.056671406,0.056663847,0.057117302,0.056548561,0.056441768,0.056334964,0.056228148,0.056172278,0.05611943,0.056067146,0.0560107,0.055947726,0.055886828,0.056072157,0.056257453,0.055940728,0.055623904,0.055226549,0.054829036,0.054431365,0.054067642,0.053703787,0.053339799,0.052975678,0.052611425,0.052319168,0.052026825,0.051734397,0.051441883,0.051149284,0.050932629,0.050715928,0.050499179,0.050282384,0.050065541,,,,,,,,,,,,,,,,,,,,
2001-01-05,0.051336443,0.054939788,0.056927443,0.056577103,0.055746863,0.058238719,0.055160308,0.054289302,0.055788476,0.053389097,0.055325902,0.055413893,0.055501876,0.055590797,0.055861295,0.056134557,0.056411524,0.05668747,0.056808408,0.056928387,0.057050241,0.057174914,0.057167358,0.057159803,0.057151303,0.0574667,0.057140914,0.05713808,0.057135247,0.057132414,0.057107857,0.0570833,0.057058742,0.057211746,0.056942557,0.056849977,0.056757389,0.056663847,0.056601764,0.056541001,0.056478533,0.056415304,0.056353395,0.056291483,0.056383169,0.056474847,0.056025828,0.055576608,0.055185543,0.054794325,0.054402954,0.054071432,0.053739799,0.053408057,0.053076204,0.052744241,0.052482387,0.052220464,0.051958473,0.051696413,0.051434284,0.051211991,0.050989648,0.050767256,0.050544814,0.050322323,,,,,,,,,,,,,,,,,,,,
2001-01-08,0.052932999,0.054288355,0.056133611,0.056018811,0.055746863,0.057963201,0.055160308,0.05399564,0.055447006,0.053104653,0.05492559,0.055043902,0.055163147,0.055283324,0.055664576,0.056049466,0.056438933,0.056827303,0.05694728,0.057056853,0.057175858,0.057289183,0.057280684,0.057272185,0.057263686,0.057088967,0.057258964,0.057263686,0.057268408,0.057272185,0.057209857,0.057147525,0.0570833,0.05694728,0.056957671,0.056896268,0.056832972,0.056770616,0.056698997,0.056628885,0.056556499,0.056483353,0.056432128,0.056380333,0.056232213,0.056087285,0.055831979,0.055576608,0.05522024,0.054863746,0.054507124,0.054169953,0.053832667,0.053495268,0.053157755,0.052820128,0.052520341,0.052220464,0.051920498,0.051620441,0.051320294,0.051141683,0.05096304,0.050784365,0.050605658,0.050426919,,,,,,,,,,,,,,,,,,,,
2001-01-09,0.053843091,0.05464537,0.056798016,0.056660008,0.056333073,0.057887703,0.055453628,0.054582878,0.055272915,0.053663982,0.054758982,0.054836609,0.054914231,0.054991846,0.055268184,0.055548229,0.055831979,0.056120375,0.056266905,0.056409634,0.056555176,0.056697863,0.056729044,0.056760223,0.056792347,0.057381722,0.056815966,0.056808408,0.05680085,0.056794236,0.056760223,0.056726209,0.056691249,0.057240077,0.056583526,0.05651076,0.056436097,0.05636143,0.056300368,0.056238546,0.056176059,0.056112812,0.056059866,0.056006918,0.05625301,0.056493749,0.056172372,0.055850893,0.055497776,0.055144535,0.05479117,0.0544522,0.054113115,0.053773915,0.0534346,0.05309517,0.052829614,0.052563987,0.052298289,0.052032521,0.051766682,0.05162234,0.051477977,0.051333594,0.051189189,0.051044764,,,,,,,,,,,,,,,,,,,,
2001-01-10,0.050134023,0.053642184,0.056740382,0.05661948,0.056333073,0.057924509,0.055453628,0.054582878,0.055289947,0.054232471,0.054827143,0.054978595,0.055130971,0.055287108,0.055559581,0.055842382,0.056137393,0.05641625,0.056573131,0.056726209,0.056883043,0.057037962,0.057059687,0.057082355,0.057105024,0.0574667,0.057123913,0.057120135,0.057116357,0.057112579,0.057081411,0.057049297,0.057017182,0.057325067,0.056931221,0.056877374,0.056821635,0.056768727,0.056706273,0.056643059,0.056580597,0.056517375,0.056461238,0.056403963,0.056557728,0.056701643,0.056446494,0.05619128,0.055831979,0.055472549,0.05511299,0.054770342,0.054427577,0.054084695,0.053741695,0.053398577,0.053133101,0.052867555,0.052601938,0.05233625,0.052070492,0.051924295,0.051778077,0.051631837,0.051485576,0.051339293,,,,,,,,,,,,,,,,,,,,
2001-01-11,0.065172383,0.062766327,0.059482323,0.058632418,0.0566166,0.058361357,0.056040011,0.054866901,0.055569986,0.053948267,0.055146113,0.055329687,0.055518904,0.05570241,0.055905741,0.056108085,0.056313223,0.056513595,0.056670461,0.056823524,0.056979398,0.057136191,0.057157914,0.05718058,0.057203246,0.057428933,0.057222134,0.057217412,0.057213635,0.057209857,0.057201357,0.057192858,0.057183414,0.0574667,0.057125802,0.057077633,0.057028517,0.056980342,0.056925081,0.056867927,0.056812187,0.056754555,0.05669021,0.05662794,0.056664792,0.056701643,0.056583526,0.056465396,0.056093588,0.055721641,0.055349557,0.055037277,0.0547249,0.054412425,0.054099852,0.053787182,0.053514226,0.053241196,0.052968091,0.052694912,0.052421658,0.052231854,0.052042014,0.051852138,0.051662226,0.051472278,,,,,,,,,,,,,,,,,,,,
2001-01-12,0.063869235,0.061981818,0.060691443,0.059570169,0.056909494,0.05852265,0.056040011,0.054866901,0.05565701,0.054232471,0.055241689,0.055405378,0.055570932,0.055736459,0.055952075,0.056170482,0.05639073,0.056610931,0.056729989,0.056849033,0.056969952,0.05709369,0.057124858,0.057156969,0.057190969,0.058268908,0.057175858,0.057130525,0.0570833,0.057037962,0.057128636,0.057220245,0.057311847,0.058231172,0.05727974,0.057155081,0.057029461,0.056902881,0.056962867,0.057022849,0.0570833,0.057143747,0.056983649,0.056823524,0.057329316,0.057834852,0.057504465,0.057173969,0.056811872,0.056449644,0.056087285,0.055743079,0.055398755,0.055054313,0.054709752,0.054365072,0.054096063,0.053826982,0.053557828,0.053288602,0.053019304,0.052829614,0.052639887,0.052450125,0.052260327,0.052070492,,,,,,,,,,,,,,,,,,,,
2001-01-15,0.062054188,0.061429945,0.061029246,0.059807965,0.056909494,0.059125145,0.056040011,0.054866901,0.056015428,0.054232471,0.055522688,0.055682548,0.055844273,0.056005027,0.056281085,0.056560846,0.056842419,0.057124858,0.057292016,0.057458202,0.057630969,0.057798043,0.057815032,0.057832964,0.057850896,0.057768783,0.057871659,0.057874491,0.057878266,0.057881097,0.057875434,0.057869772,0.057864109,0.057740467,0.057853728,0.057849009,0.05784429,0.057840514,0.057765951,0.057691383,0.057615393,0.057539397,0.057517305,0.057495024,0.057361421,0.057230633,0.057037018,0.056843364,0.056427591,0.056011645,0.055595527,0.055254937,0.054914231,0.054573409,0.054232471,0.053891416,0.05362228,0.053353072,0.05308379,0.052814437,0.052545011,0.052357128,0.052169211,0.051981258,0.051793269,0.051605246,,,,,,,,,,,,,,,,,,,,
