"V1","V2","V3","V4","V5","V6","V7","V8"
"176",2,1.5,30,16,2515.25789954174,2418.71906390328,2867,2867
"177",2,1.5,30,17,2505.70361166703,2467.32902110684,2867,2867
"178",2,1.5,30,18,2543.75805813435,2384.12453471754,2867,2867
"179",2,1.5,30,19,2506.02853589478,2372.43553792857,2867,2867
"180",2,1.5,30,20,2442.86249454502,2354.90938912071,2803,2803
"181",6,0,10,1,1473.07384010721,2257.13049459692,2867,2867
"182",6,0,10,2,1448.07237589799,1501.9351430633,2867,2867
"183",6,0,10,3,1463.57197707496,1499.49430470235,2867,2867
"184",6,0,10,4,1534.79550137962,1371.92839168886,2867,2867
"185",6,0,10,5,6100.93317835095,11218.6511255941,2803,2803
"186",6,0,10,6,2653.28350074877,4766.6407137301,2867,2867
"187",6,0,10,7,3220.03400497344,4706.26200120942,2867,2867
"188",6,0,10,8,3176.53024972602,4539.61335333319,2867,2867
"189",6,0,10,9,2554.59679176193,3521.98540327581,2867,2867
"190",6,0,10,10,8645.42827325425,15440.9541992686,2803,2803
"191",6,0,10,11,2071.19143325262,3378.7369768159,2867,2867
"192",6,0,10,12,2129.44744559149,2542.22025587999,2867,2867
"193",6,0,10,13,2484.23824089358,2901.16489255254,2867,2867
"194",6,0,10,14,1673.75888240201,1711.67122936222,2867,2867
"195",6,0,10,15,6910.32807645446,12511.1967195692,2803,2803
"196",6,0,10,16,1621.97652142376,1825.39246118876,2867,2867
"197",6,0,10,17,1535.90187648576,2038.10451743354,2867,2867
"198",6,0,10,18,1441.14031360004,1834.0432008336,2867,2867
"199",6,0,10,19,1513.72706106972,1439.34555799097,2867,2867
"200",6,0,10,20,1866.38827676439,2227.97102463512,2803,2803
"201",6,0,20,1,1454.22214053197,1391.67835831585,2867,2867
"202",6,0,20,2,1851.19326770302,1865.82894341803,2867,2867
"203",6,0,20,3,1448.33534106766,1346.55248532437,2867,2867
"204",6,0,20,4,1517.44063547369,1443.39678325584,2867,2867
"205",6,0,20,5,4519.23807310799,4606.43751120575,2803,2803
"206",6,0,20,6,1642.54352871093,1642.44650123629,2867,2867
"207",6,0,20,7,2062.4647011857,2103.87738457371,2867,2867
"208",6,0,20,8,1837.09445346486,1855.31446141047,2867,2867
"209",6,0,20,9,1736.1737892564,1733.50009342765,2867,2867
"210",6,0,20,10,4694.35921181857,4774.85508706956,2803,2803
"211",6,0,20,11,1576.25392958223,1541.23367279195,2867,2867
"212",6,0,20,12,1653.78204518411,1670.8659925622,2867,2867
"213",6,0,20,13,1622.54509057105,1554.08797878242,2867,2867
"214",6,0,20,14,1386.75769290571,1261.7893539604,2867,2867
"215",6,0,20,15,4172.66168553074,4194.9633861142,2803,2803
"216",6,0,20,16,1469.67448018916,1396.18751224567,2867,2867
"217",6,0,20,17,1485.22033541063,1448.33987266618,2867,2867
"218",6,0,20,18,1440.9555674222,1363.03680529115,2867,2867
"219",6,0,20,19,1450.81561121906,1365.57449464319,2867,2867
"220",6,0,20,20,1422.53300073287,1333.75959095372,2803,2803
"221",6,0,30,1,1433.64061360901,1318.04180092687,2867,2867
"222",6,0,30,2,1681.53626714672,1749.25491391938,2867,2867
"223",6,0,30,3,1471.34619732052,1536.71630889807,2867,2867
"224",6,0,30,4,1423.93227661998,1505.24327957802,2867,2867
"225",6,0,30,5,2220.83109188976,2233.67290619916,2803,2803
"226",6,0,30,6,1559.12840309117,1573.68251640133,2867,2867
"227",6,0,30,7,1645.38367220015,1697.93499580273,2867,2867
"228",6,0,30,8,1649.26548329564,1781.70934705548,2867,2867
"229",6,0,30,9,1575.02199908376,1707.96027383501,2867,2867
"230",6,0,30,10,2222.61142712326,2230.99618052404,2803,2803
"231",6,0,30,11,1534.23520324159,1533.74294232357,2867,2867
"232",6,0,30,12,1597.18383127185,1635.97459770886,2867,2867
"233",6,0,30,13,1545.82757467339,1652.86607628551,2867,2867
"234",6,0,30,14,1372.06693460497,1446.43100237071,2867,2867
"235",6,0,30,15,3205.52566148678,3515.45793063647,2803,2803
"236",6,0,30,16,1435.74231285253,1343.68292427605,2867,2867
"237",6,0,30,17,1440.74028757168,1342.84366837091,2867,2867
"238",6,0,30,18,1411.73537416603,1308.35199167278,2867,2867
"239",6,0,30,19,1426.09622677044,1336.45680053235,2867,2867
"240",6,0,30,20,1410.42106267852,1347.11747115722,2803,2803
"241",6,0.5,10,1,1395.78394152725,1388.69947413633,2867,2867
"242",6,0.5,10,2,1389.0083568161,1334.56908470963,2867,2867
"243",6,0.5,10,3,1385.23529627504,1292.77704784382,2867,2867
"244",6,0.5,10,4,1423.10123264496,1591.86287975754,2867,2867
"245",6,0.5,10,5,7547.75742393199,11523.949907571,2803,2803
"246",6,0.5,10,6,3099.38994483884,6325.66321356131,2867,2867
"247",6,0.5,10,7,3631.45853930925,6773.00017907456,2867,2867
"248",6,0.5,10,8,3696.69629072764,6498.86324659477,2867,2867
"249",6,0.5,10,9,2851.35288113184,5178.31793920662,2867,2867
"250",6,0.5,10,10,10449.0765808344,16462.5553479627,2803,2803
"251",6,0.5,10,11,2086.38352896819,4363.21419934709,2867,2867
"252",6,0.5,10,12,2319.65523052426,3879.16445134986,2867,2867
"253",6,0.5,10,13,2822.61317970507,4159.71653688578,2867,2867
"254",6,0.5,10,14,1639.06486127866,2201.20795221774,2867,2867
"255",6,0.5,10,15,8380.1330221755,13076.8547370121,2803,2803
"256",6,0.5,10,16,1502.15579936623,2077.58306081921,2867,2867
"257",6,0.5,10,17,1494.17953914648,2076.89020797322,2867,2867
"258",6,0.5,10,18,1376.59950739438,1252.32370727845,2867,2867
"259",6,0.5,10,19,1399.80627568561,1575.53970642029,2867,2867
"260",6,0.5,10,20,1814.89892648276,3105.60842858477,2803,2803
"261",6,0.5,20,1,1372.40527530232,1459.24979292249,2867,2867
"262",6,0.5,20,2,1841.45894970172,2037.21852893284,2867,2867
"263",6,0.5,20,3,1383.98859456109,1406.68184520423,2867,2867
"264",6,0.5,20,4,1480.37818414725,1549.5052398024,2867,2867
"265",6,0.5,20,5,4551.35541606069,4643.89118635659,2803,2803
"266",6,0.5,20,6,1630.39740752554,1737.34189878599,2867,2867
"267",6,0.5,20,7,2064.47784063949,2266.21228734056,2867,2867
"268",6,0.5,20,8,1832.67180258435,1993.00217386799,2867,2867
"269",6,0.5,20,9,1730.04232647863,1891.14130856938,2867,2867
"270",6,0.5,20,10,4726.67357175826,4815.94577991692,2803,2803
"271",6,0.5,20,11,1530.55150433861,1629.98648617971,2867,2867
"272",6,0.5,20,12,1637.30713701386,1735.31786850324,2867,2867
"273",6,0.5,20,13,1608.80596786586,1717.87135978798,2867,2867
"274",6,0.5,20,14,1334.26928881561,1350.67071221299,2867,2867
"275",6,0.5,20,15,4171.83912160168,4246.85348055731,2803,2803
"276",6,0.5,20,16,1383.04326925234,1471.83637280472,2867,2867
"277",6,0.5,20,17,1406.34953520111,1494.41664889925,2867,2867
"278",6,0.5,20,18,1367.06529797428,1425.06908547943,2867,2867
"279",6,0.5,20,19,1371.00012346239,1449.34930089565,2867,2867
"280",6,0.5,20,20,1342.1905856935,1392.85652823996,2803,2803
"281",6,0.5,30,1,1360.30122251824,1200.87390945047,2867,2867
"282",6,0.5,30,2,1648.35867519362,1607.05356194789,2867,2867
"283",6,0.5,30,3,1426.71045552751,1427.18819711901,2867,2867
"284",6,0.5,30,4,1372.31927540641,1369.38017317867,2867,2867
"285",6,0.5,30,5,2166.82576617666,2001.83258615969,2803,2803
"286",6,0.5,30,6,1529.55761622392,1442.09531681806,2867,2867
"287",6,0.5,30,7,1607.89091435424,1571.8615697075,2867,2867
"288",6,0.5,30,8,1624.66488002956,1607.24770182386,2867,2867
"289",6,0.5,30,9,1551.00813764527,1550.77619656237,2867,2867
"290",6,0.5,30,10,2168.03788127517,2001.3581630841,2803,2803
