DATE,0.003,0.005,0.019,0.038,0.083,0.167,0.25,0.5,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,3.25,3.5,3.75,4,4.25,4.5,4.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,8,8.25,8.5,8.75,9,9.25,9.5,9.75,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
2000-09-12,0.00284666,0.00294832,0.00318547,0.00334806,0.00373302,0.00393146,0.00357361,0.00466908,0.00494417,0.00497759,0.00557866,0.00589056,0.00620929,0.00653484,0.00707681,0.00760063,0.00815986,0.00889036,0.00927864,0.00985785,0.01043527,0.01101869,0.01160443,0.01218339,0.01277488,0.01356754,0.01390633,0.01444043,0.0149861,0.01553147,0.01602597,0.0165148,0.01701424,0.01772203,0.0179067,0.01829981,0.01870572,0.01910284,0.01941983,0.01973673,0.02005528,0.02037373,0.0206424,0.02091101,0.02127271,0.02163428,0.02267595,0.02371653,0.02454301,0.02536881,0.02619392,0.02651924,0.02684444,0.02716954,0.02749454,0.02781943,0.02785444,0.02788945,0.02792446,0.02795947,0.02799447,0.02808004,0.0281656,0.02825115,0.0283367,0.02842223,,,,,,,,,,,,,,,,,,,,
2000-09-13,0.00325332,0.00325332,0.00325325,0.00338091,0.00368321,0.00394114,0.00356364,0.00493779,0.0048461,0.00515668,0.00554919,0.00588346,0.0062404,0.00658583,0.00714033,0.00769452,0.0082484,0.00888045,0.00940332,0.01000585,0.01061359,0.01122097,0.01180681,0.01238589,0.01297748,0.01354781,0.01410918,0.01464341,0.01518921,0.01573472,0.01623151,0.01672259,0.01722433,0.01770238,0.01812934,0.01852066,0.01891182,0.01930713,0.01962488,0.01994253,0.02026359,0.02058455,0.02087755,0.02117046,0.02145134,0.02173214,0.0227737,0.02381418,0.02460155,0.02538831,0.02617444,0.02652703,0.02687949,0.02723183,0.02758404,0.02793613,0.02802559,0.02811504,0.02820449,0.02829392,0.02838335,0.02849805,0.02861272,0.02872739,0.02884204,0.02895668,,,,,,,,,,,,,,,,,,,,
2000-09-14,0.00325332,0.0032533,0.00325326,0.00338388,0.00369317,0.00392124,0.00347396,0.00493779,0.00473497,0.00515668,0.00551853,0.00590366,0.0062972,0.00669059,0.00724152,0.00778609,0.00834247,0.00907866,0.00950036,0.01010191,0.01070961,0.01133674,0.01191747,0.01248497,0.0130908,0.01385359,0.01423213,0.01478666,0.01534088,0.01590088,0.01637826,0.0168607,0.01734291,0.0180069,0.01824997,0.01866958,0.01909363,0.01951749,0.01983322,0.02014885,0.02046961,0.02079027,0.02106066,0.02133098,0.02168327,0.02203543,0.02308156,0.0241266,0.02495274,0.0257782,0.02660298,0.02695542,0.02730773,0.02765991,0.02801198,0.02836391,0.02842418,0.02848444,0.0285447,0.02860495,0.0286652,0.0287818,0.02889839,0.02901497,0.02913153,0.02924807,,,,,,,,,,,,,,,,,,,,
2000-09-15,0.00325329,0.00327871,0.00339188,0.00348725,0.0037131,0.00392216,0.00347396,0.00494774,0.0048349,0.00516663,0.00563257,0.00602464,0.00642526,0.00682571,0.00749003,0.00814661,0.00881734,0.00907866,0.00995619,0.01019862,0.01079859,0.01138545,0.01195344,0.01253372,0.01310106,0.01386346,0.01425534,0.01483606,0.01541644,0.01600286,0.01645766,0.01690727,0.01736666,0.0180069,0.01825916,0.01869229,0.01913,0.01956751,0.01987841,0.0201892,0.02051363,0.02083796,0.02109231,0.0213466,0.02169597,0.02204521,0.02308645,0.0241266,0.02495599,0.0257847,0.02661272,0.02696515,0.02731746,0.02766964,0.0280217,0.02837363,0.0284339,0.02849416,0.02855441,0.02861467,0.02867492,0.02878957,0.02890422,0.02901885,0.02913347,0.02924807,,,,,,,,,,,,,,,,,,,,
2000-09-18,0.00325332,0.00340582,0.00352435,0.0036218,0.00385257,0.00394598,0.00358357,0.00496764,0.0048472,0.00517658,0.00554393,0.0058864,0.00623637,0.00658621,0.00710967,0.00762711,0.00815577,0.00909848,0.00930718,0.0099189,0.0105297,0.01114683,0.01170196,0.01226911,0.01282362,0.01366619,0.01393029,0.01446423,0.01500974,0.01555495,0.01604929,0.01653796,0.01703725,0.01782027,0.01792295,0.01831371,0.01870007,0.01909902,0.01941761,0.0197361,0.02005974,0.02038327,0.02068491,0.02098647,0.0214181,0.02184955,0.02289099,0.02393135,0.02475765,0.02558327,0.02640821,0.02678603,0.0271637,0.02754123,0.02791862,0.02829587,0.02832698,0.02835808,0.02838919,0.02842029,0.02845139,0.02859912,0.02874682,0.0288945,0.02904216,0.0291898,,,,,,,,,,,,,,,,,,,,
2000-09-19,0.00447331,0.00416831,0.00361472,0.00369125,0.00387249,0.00397019,0.00369317,0.00526611,0.00515356,0.00537553,0.00568566,0.00594724,0.00621457,0.00648764,0.00701523,0.00754255,0.00806959,0.00869211,0.01127033,0.00976993,0.01035516,0.01094647,0.01150883,0.01207088,0.01263261,0.01337022,0.01374269,0.01428489,0.0148268,0.01537436,0.01587087,0.01636713,0.01686315,0.0175157,0.01774417,0.01812383,0.01851585,0.01889522,0.01924098,0.01958663,0.01993785,0.02028894,0.02056243,0.02083584,0.02118619,0.02153642,0.02263684,0.02373606,0.02460155,0.0254663,0.0263303,0.02670814,0.02708584,0.0274634,0.02784082,0.0282181,0.02827643,0.02833475,0.02839307,0.02845139,0.02850971,0.02865548,0.02880123,0.02894696,0.02909267,0.02923836,,,,,,,,,,,,,,,,,,,,
2000-09-20,0.00386331,0.00386331,0.00370508,0.00377549,0.00394222,0.0039605,0.00368321,0.00526611,0.00485052,0.00537553,0.00555243,0.00588614,0.00624248,0.00658732,0.007115,0.00764239,0.00816951,0.00899938,0.00927513,0.00985282,0.01043729,0.01102142,0.01160708,0.01218598,0.01277739,0.01356754,0.01390872,0.01444277,0.01498839,0.01553371,0.01602933,0.01651926,0.01701983,0.01771221,0.01793301,0.01831648,0.01870841,0.0191002,0.01941875,0.01973719,0.02006079,0.02038428,0.02067422,0.02096409,0.02141181,0.02185933,0.02289588,0.02393135,0.02479992,0.02566775,0.02653482,0.02691259,0.02729021,0.02766769,0.02804504,0.02842223,0.02850776,0.02859329,0.0286788,0.02876431,0.02884981,0.02899554,0.02914124,0.02928692,0.02943258,0.02957822,,,,,,,,,,,,,,,,,,,,
2000-09-21,0.00386331,0.00302456,0.00459329,0.00444734,0.00410158,0.00409864,0.00368321,0.00524621,0.00542848,0.00536558,0.00589254,0.00612069,0.00635386,0.00658697,0.00713803,0.00768274,0.00823924,0.00888045,0.00937718,0.00994714,0.0105282,0.01112154,0.01170874,0.01227626,0.01288211,0.01355768,0.0140161,0.01455173,0.01509301,0.015634,0.0161365,0.01662783,0.01712438,0.01770238,0.01805038,0.01846525,0.01888915,0.01931287,0.01965589,0.0199988,0.02034726,0.02069561,0.02095922,0.02122276,0.0215362,0.02184955,0.02289099,0.02393135,0.02479992,0.02566775,0.02653482,0.02691064,0.02728632,0.02766186,0.02803726,0.02841251,0.02849999,0.02858746,0.02867492,0.02876237,0.02884981,0.02902662,0.0292034,0.02938015,0.02955686,0.02973354,,,,,,,,,,,,,,,,,,,,
2000-09-22,0.00325329,0.00322788,0.00479661,0.00456077,0.00400198,0.00401452,0.00377287,0.0054352,0.00543141,0.00556449,0.00580962,0.00599558,0.00618563,0.00637565,0.00690178,0.00742186,0.00795321,0.0086822,0.01116099,0.00969517,0.01031929,0.01092311,0.01145861,0.01199382,0.01252874,0.01325181,0.01361187,0.01414815,0.01469009,0.01523769,0.01573182,0.01622027,0.01671934,0.0172995,0.0176375,0.01805666,0.01848025,0.01890367,0.01921459,0.01952542,0.01984474,0.02016395,0.02042951,0.020695,0.02106194,0.02142876,0.02247063,0.02351143,0.02433808,0.02516405,0.02598933,0.02636731,0.02674514,0.02712283,0.02750037,0.02787778,0.02799447,0.02811115,0.02822782,0.02834447,0.02846111,0.02860301,0.02874488,0.02888673,0.02902856,0.02917038,,,,,,,,,,,,,,,,,,,,
2000-09-25,0.00325332,0.00345665,0.00511699,0.00477428,0.00396214,0.00414434,0.00378284,0.00556449,0.00534891,0.0057733,0.00584388,0.00608722,0.0063359,0.00658452,0.00708701,0.00758373,0.00809123,0.00879124,0.01102017,0.00972088,0.01027558,0.01082997,0.01141814,0.01200596,0.01259344,0.01336035,0.01372705,0.01426086,0.01480623,0.0153513,0.01581893,0.01628121,0.01675353,0.0174076,0.01764422,0.01806263,0.01848545,0.01891729,0.01925272,0.01958803,0.01993446,0.02028078,0.02055068,0.02082051,0.02118342,0.0215462,0.02258307,0.02361887,0.02448771,0.02535581,0.02622315,0.02659909,0.02697488,0.02735054,0.02772606,0.02810143,0.02815977,0.0282181,0.02827643,0.02833475,0.02839307,0.02854081,0.02868852,0.02883621,0.02898388,0.02913153,,,,,,,,,,,,,,,,,,,,
2000-09-26,0.00315165,0.00304999,0.00486848,0.00458472,0.00391234,0.00413143,0.00369317,0.00556449,0.00534596,0.0057733,0.00589366,0.00615268,0.00642046,0.006697,0.00720033,0.00768683,0.00820624,0.00888045,0.00928522,0.00986238,0.0104381,0.01101982,0.01160554,0.01218449,0.01277596,0.01355768,0.01390739,0.01444148,0.01498714,0.0155325,0.01602699,0.01651581,0.01701524,0.01771221,0.01793987,0.01837914,0.01880421,0.0192291,0.0195702,0.01991119,0.02025205,0.02059281,0.02088949,0.02118609,0.0215717,0.02195717,0.0229985,0.02403874,0.02490722,0.02577495,0.02664193,0.02704497,0.02744784,0.02785055,0.0282531,0.02865548,0.0287099,0.02876431,0.02881872,0.02887313,0.02892754,0.02910627,0.02928498,0.02946365,0.02964229,0.0298209,,,,,,,,,,,,,,,,,,,,
2000-09-27,0.00386331,0.00386331,0.00481203,0.00448591,0.0037131,0.00356683,0.00349389,0.00556449,0.00535186,0.0057733,0.0058964,0.00615532,0.006423,0.00669942,0.00721079,0.0077219,0.00823275,0.00898947,0.01133895,0.0098363,0.0103823,0.01093394,0.01151305,0.01209182,0.01268311,0.01355768,0.01381616,0.01435156,0.01489856,0.01544526,0.01590777,0.01637006,0.01683214,0.01760413,0.01772333,0.01816662,0.01859558,0.01902906,0.01937169,0.0197142,0.02006226,0.02041021,0.02067344,0.0209366,0.02134424,0.02175171,0.0228519,0.02395087,0.02481618,0.02568074,0.02654456,0.02694763,0.02735054,0.02775329,0.02815588,0.0285583,0.02861467,0.02867103,0.02872739,0.02878374,0.0288401,0.02898582,0.02913153,0.02927721,0.02942287,0.02956851,,,,,,,,,,,,,,,,,,,,
2000-09-28,0.00315165,0.00688771,0.00496302,0.00477236,0.00432065,0.00385162,0.00547498,0.00607153,0.00538459,0.00602183,0.00595213,0.00622962,0.00651011,0.0067936,0.00732068,0.00779263,0.00829177,0.00910839,0.00939816,0.00995615,0.01053214,0.01112677,0.01169389,0.01224838,0.01281486,0.01356754,0.0139086,0.01442499,0.01495271,0.01548015,0.01597691,0.01644174,0.01692219,0.01760413,0.01782705,0.01822395,0.0186296,0.01903954,0.01938435,0.01972903,0.02007549,0.02042183,0.02070227,0.02098264,0.02136235,0.02174192,0.02284212,0.02394111,0.02480643,0.025671,0.02653482,0.02693789,0.02734081,0.02774356,0.02814615,0.02854858,0.0286341,0.02871962,0.02880512,0.02889062,0.02897611,0.02908879,0.02920146,0.02931411,0.02942675,0.02953938,,,,,,,,,,,,,,,,,,,,
2000-09-29,0.00325329,0.00327871,0.00358596,0.00364737,0.0037928,0.00392216,0.00541531,0.00544515,0.00543214,0.00556449,0.00601263,0.00629644,0.00658333,0.00687328,0.00737048,0.00782559,0.00830141,0.00897956,0.00935433,0.009909,0.01046829,0.01101511,0.01155664,0.01208611,0.01262706,0.01335048,0.0137079,0.01423582,0.01477531,0.01532044,0.0157985,0.01625578,0.01672313,0.01738795,0.0175966,0.01798472,0.01837701,0.01877344,0.01911789,0.01946222,0.0198121,0.02016187,0.02042909,0.02069625,0.02111642,0.02153642,0.0225733,0.0236091,0.02447796,0.02534606,0.02621341,0.02664388,0.02707416,0.02750427,0.02793418,0.02836391,0.02841835,0.02847278,0.0285272,0.02858163,0.02863605,0.0287818,0.02892754,0.02907325,0.02921894,0.02936461,,,,,,,,,,,,,,,,,,,,
2000-10-02,0.00386331,0.00350748,0.0033888,0.00344367,0.00357361,0.00503122,0.0054352,0.00546504,0.00233841,0.00557443,0.00413383,0.00501085,0.00589684,0.00679176,0.0072828,0.00774227,0.00823284,0.00889036,0.01135506,0.00981481,0.01037672,0.0109261,0.01146614,0.01199416,0.01253362,0.01326167,0.01358654,0.01409458,0.01461365,0.0151268,0.01559956,0.01606181,0.01653412,0.01719138,0.01739721,0.01778888,0.01819329,0.01858465,0.01893014,0.01927551,0.01962077,0.0199659,0.02026094,0.02055588,0.02094345,0.02133087,0.02243152,0.02353096,0.02439663,0.02526156,0.02612573,0.02655429,0.02698267,0.02741087,0.02783888,0.02826671,0.02832309,0.02837947,0.02843584,0.02849221,0.02854858,0.02866131,0.02877403,0.02888673,0.02899942,0.0291121,,,,,,,,,,,,,,,,,,,,
