"V1","V2","V3","V4","V5","V6","V7","V8"
"125",2,1.5,10,5,7037.06570297007,4427.08832544204,4262,4262
"126",2,1.5,10,6,6981.90114539959,5393.31847233009,4282,4282
"127",2,1.5,10,7,4907.90336288432,4453.02368334875,4282,4282
"128",2,1.5,10,8,6950.42020654319,5255.20470957481,4282,4282
"129",2,1.5,10,9,4854.60259671439,4969.34300969274,4282,4282
"130",2,1.5,10,10,8078.32270467784,4755.88361532734,4262,4262
"131",2,1.5,10,11,7692.39466209714,5701.25948401378,4282,4282
"132",2,1.5,10,12,6700.50252160958,5094.68300511356,4282,4282
"133",2,1.5,10,13,7124.18582588887,5312.68225394356,4282,4282
"134",2,1.5,10,14,6709.05008861497,5246.20249938793,4282,4282
"135",2,1.5,10,15,7117.92076394349,4368.04569787122,4262,4262
"136",2,1.5,10,16,5408.55077084342,5154.70508748597,4282,4282
"137",2,1.5,10,17,5520.43740856147,5299.36934103025,4282,4282
"138",2,1.5,10,18,5324.7506317409,5078.04320052847,4282,4282
"139",2,1.5,10,19,5010.22206609208,5121.57963749167,4282,4282
"140",2,1.5,10,20,4871.05363267019,4852.08070066457,4262,4262
"141",2,1.5,20,1,5812.60689753028,5625.89598464061,4282,4282
"142",2,1.5,20,2,4521.18499893079,4408.49209579696,4282,4282
"143",2,1.5,20,3,5780.85087937143,5600.37301800405,4282,4282
"144",2,1.5,20,4,5444.70816342268,5292.40955695437,4282,4282
"145",2,1.5,20,5,4018.29181392621,3995.56409267903,4262,4262
"146",2,1.5,20,6,5516.86236968761,5408.75355002575,4282,4282
"147",2,1.5,20,7,4108.09489150302,4158.71581455039,4282,4282
"148",2,1.5,20,8,5324.43058822316,5179.90268448388,4282,4282
"149",2,1.5,20,9,5743.83314536511,5556.39455692543,4282,4282
"150",2,1.5,20,10,3986.34800732305,3939.88155621174,4262,4262
"151",2,1.5,20,11,5650.80150329885,5525.66613284442,4282,4282
"152",2,1.5,20,12,4881.84465988572,4709.5655927461,4282,4282
"153",2,1.5,20,13,5439.2428298171,5264.03764941575,4282,4282
"154",2,1.5,20,14,5149.8736741226,5160.1221723867,4282,4282
"155",2,1.5,20,15,3990.1544037405,3893.15459366826,4262,4262
"156",2,1.5,20,16,5107.01980263554,5225.49150935651,4282,4282
"157",2,1.5,20,17,5341.29090321239,5277.510404427,4282,4282
"158",2,1.5,20,18,5063.1955713265,5198.55759399445,4282,4282
"159",2,1.5,20,19,5087.99170284742,5209.53241657744,4282,4282
"160",2,1.5,20,20,5300.28922493883,5114.2877963777,4262,4262
"161",2,1.5,30,1,4491.26736065551,5645.23424580556,4282,4282
"162",2,1.5,30,2,4393.21183347873,4482.41368183438,4282,4282
"163",2,1.5,30,3,4409.77827719777,5403.37685835611,4282,4282
"164",2,1.5,30,4,4351.39930693836,5338.73086547893,4282,4282
"165",2,1.5,30,5,3390.6529755128,3734.84453594426,4262,4262
"166",2,1.5,30,6,4391.45047327708,5424.94145785906,4282,4282
"167",2,1.5,30,7,4438.67366095008,4536.00130977611,4282,4282
"168",2,1.5,30,8,4367.91331509535,5212.71124835562,4282,4282
"169",2,1.5,30,9,4472.76337030718,5563.00326578056,4282,4282
"170",2,1.5,30,10,3419.04584567123,3765.33376152716,4262,4262
"171",2,1.5,30,11,4434.17335878239,5496.62408251336,4282,4282
"172",2,1.5,30,12,4285.66811988129,4666.00973349584,4282,4282
"173",2,1.5,30,13,4355.35828911991,5264.27258860024,4282,4282
"174",2,1.5,30,14,4176.58761631402,5163.41644105659,4282,4282
"175",2,1.5,30,15,3059.31002670701,3812.08460774858,4262,4262
"176",2,1.5,30,16,5009.10162128839,5245.14243435323,4282,4282
"177",2,1.5,30,17,4905.38338580501,5276.85263683976,4282,4282
"178",2,1.5,30,18,4960.71979928295,5228.84538150701,4282,4282
"179",2,1.5,30,19,5069.76612557736,5235.11462955421,4282,4282
"180",2,1.5,30,20,4904.0046371097,5177.18352705486,4262,4262
"181",6,0,10,1,1316.83851056012,2619.538656539,4282,4282
"182",6,0,10,2,1055.78990692089,1667.86258762295,4282,4282
"183",6,0,10,3,1145.28857385516,1799.69855462622,4282,4282
"184",6,0,10,4,919.961664259384,1254.18060308478,4282,4282
"185",6,0,10,5,6129.81968716842,14466.9608663703,4262,4262
"186",6,0,10,6,3482.52435625342,7339.22305500236,4282,4282
"187",6,0,10,7,4489.64863260246,6474.52221397524,4282,4282
"188",6,0,10,8,5328.6894966027,8167.1543192473,4282,4282
"189",6,0,10,9,3672.04309788406,5942.71274657461,4282,4282
"190",6,0,10,10,7284.50480642735,15584.0508562835,4262,4262
"191",6,0,10,11,1915.14941136241,4755.5155123126,4282,4282
"192",6,0,10,12,2460.3135587218,3370.33869925206,4282,4282
"193",6,0,10,13,3566.97234199148,4841.86831645632,4282,4282
"194",6,0,10,14,1342.33722738651,1901.31792279503,4282,4282
"195",6,0,10,15,6231.23464576756,14274.2866796667,4262,4262
"196",6,0,10,16,1032.20267107834,1306.95526353784,4282,4282
"197",6,0,10,17,1247.91310986505,2675.64063407441,4282,4282
"198",6,0,10,18,1159.52506013117,2200.76996471386,4282,4282
